This list contains all games supported by FinalBurn Neo.

24323 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

+---------------------------------+--------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------+-------------+-----------------------------------------------------------------+--------------------------------+-----------------------------------------------------------------------------------+
| name                            | status | full name                                                                                                                                                              | parent                     | year        | company                                                         | hardware                       | remarks                                                                           |
| 1941j                           |        | 1941: Counter Attack (Japan)                                                                                                                                           | 1941                       | 1990        | Capcom                                                          | CPS1                           |                                                                                   |
| 1941u                           |        | 1941: Counter Attack (USA 900227)                                                                                                                                      | 1941                       | 1990        | Capcom                                                          | CPS1                           |                                                                                   |
| 1941                            |        | 1941: Counter Attack (World 900227)                                                                                                                                    |                            | 1990        | Capcom                                                          | CPS1                           |                                                                                   |
| 1941r1                          |        | 1941: Counter Attack (World)                                                                                                                                           | 1941                       | 1990        | Capcom                                                          | CPS1                           |                                                                                   |
| spec_1942                       |        | 1942 (48K)                                                                                                                                                             |                            | 1986        | Elite Systems                                                   | ZX Spectrum                    |                                                                                   |
| 1942c64                         |        | 1942 (C64 Music)                                                                                                                                                       | 1942                       | 2015        | hack by Minwah                                                  | Miscellaneous                  |                                                                                   |
| 1942b                           |        | 1942 (First Version)                                                                                                                                                   | 1942                       | 1984        | Capcom                                                          | Miscellaneous                  |                                                                                   |
| nes_1942c                       |        | 1942 (Hack, Chinese)                                                                                                                                                   | nes_1942                   | 2020        | 6502                                                            | NES / Famicom                  |                                                                                   |
| msx_1942                        |        | 1942 (Japan)                                                                                                                                                           |                            | 1986        | Capcom                                                          | MSX                            |                                                                                   |
| msx_1942a                       |        | 1942 (Japan, Alt)                                                                                                                                                      | msx_1942                   | 1986        | Capcom                                                          | MSX                            |                                                                                   |
| nes_1942                        |        | 1942 (Japan, USA)                                                                                                                                                      |                            | 1985        | Capcom                                                          | NES / Famicom                  |                                                                                   |
| msx_1942k                       |        | 1942 (Korea) (Unl)                                                                                                                                                     | msx_1942                   | 1987        | Zemina                                                          | MSX                            |                                                                                   |
| 1942a                           |        | 1942 (Revision A)                                                                                                                                                      | 1942                       | 1984        | Capcom                                                          | Miscellaneous                  |                                                                                   |
| 1942abl                         |        | 1942 (Revision A, bootleg)                                                                                                                                             | 1942                       | 1984        | bootleg                                                         | Miscellaneous                  |                                                                                   |
| 1942                            |        | 1942 (Revision B)                                                                                                                                                      |                            | 1984        | Capcom                                                          | Miscellaneous                  |                                                                                   |
| cv_1942sgm                      |        | 1942 (SGM) (HB)                                                                                                                                                        |                            | 1985-2020   | Capcom                                                          | ColecoVision                   | SGM - Published by Team Pixelboy                                                  |
| 1942w                           |        | 1942 (Williams Electronics license)                                                                                                                                    | 1942                       | 1985        | Capcom (Williams Electronics license)                           | Miscellaneous                  |                                                                                   |
| pce_1943kai                     |        | 1943 Kai (Japan)                                                                                                                                                       |                            | 1991        | Naxat Soft                                                      | PC Engine                      |                                                                                   |
| 1943kai                         |        | 1943 Kai: Midway Kaisen (Japan)                                                                                                                                        |                            | 1987        | Capcom                                                          | Miscellaneous                  |                                                                                   |
| 1943b                           |        | 1943: Battle of Midway (bootleg, hack of Japan set, set 1)                                                                                                             | 1943                       | 1987        | bootleg                                                         | Miscellaneous                  |                                                                                   |
| 1943b2                          |        | 1943: Battle of Midway (bootleg, hack of Japan set, set 2)                                                                                                             | 1943                       | 1987        | bootleg                                                         | Miscellaneous                  |                                                                                   |
| 1943bj                          |        | 1943: Midway Kaisen (bootleg)                                                                                                                                          | 1943                       | 1987        | bootleg                                                         | Miscellaneous                  |                                                                                   |
| 1943ja                          |        | 1943: Midway Kaisen (Japan)                                                                                                                                            | 1943                       | 1987        | Capcom                                                          | Miscellaneous                  |                                                                                   |
| 1943jah                         |        | 1943: Midway Kaisen (Japan, no protection hack)                                                                                                                        | 1943                       | 1987        | Capcom                                                          | Miscellaneous                  |                                                                                   |
| 1943jaha                        |        | 1943: Midway Kaisen (Japan, no protection hack, alt)                                                                                                                   | 1943                       | 1987        | Capcom                                                          | Miscellaneous                  |                                                                                   |
| 1943j                           |        | 1943: Midway Kaisen (Japan, Rev B)                                                                                                                                     | 1943                       | 1987        | Capcom                                                          | Miscellaneous                  |                                                                                   |
| spec_1943                       |        | 1943: The Battle of Midway (48K)                                                                                                                                       |                            | 1988        | Go!                                                             | ZX Spectrum                    |                                                                                   |
| 1943                            |        | 1943: The Battle of Midway (Euro)                                                                                                                                      |                            | 1987        | Capcom                                                          | Miscellaneous                  |                                                                                   |
| 1943ua                          |        | 1943: The Battle of Midway (US)                                                                                                                                        | 1943                       | 1987        | Capcom                                                          | Miscellaneous                  |                                                                                   |
| 1943u                           |        | 1943: The Battle of Midway (US, Rev C)                                                                                                                                 | 1943                       | 1987        | Capcom                                                          | Miscellaneous                  |                                                                                   |
| nes_1943                        |        | 1943: The Battle of Midway (USA)                                                                                                                                       |                            | 1988        | Capcom                                                          | NES / Famicom                  |                                                                                   |
| 1943mii                         |        | 1943: The Battle of Midway Mark II (US)                                                                                                                                |                            | 1987        | Capcom                                                          | Miscellaneous                  |                                                                                   |
| nes_1943j                       |        | 1943: The Battle of Valhalla (Japan)                                                                                                                                   | nes_1943                   | 1988        | Capcom                                                          | NES / Famicom                  |                                                                                   |
| 1944                            |        | 1944: The Loop Master (Europe 000620)                                                                                                                                  |                            | 2000        | Eighting / Raizing (Capcom license)                             | CPS2                           |                                                                                   |
| 1944j                           |        | 1944: The Loop Master (Japan 000620)                                                                                                                                   | 1944                       | 2000        | Eighting / Raizing (Capcom license)                             | CPS2                           |                                                                                   |
| 1944ad                          |        | 1944: The Loop Master (USA 000620 alt Phoenix Edition) (bootleg)                                                                                                       | 1944                       | 2000        | bootleg                                                         | CPS2                           |                                                                                   |
| 1944d                           |        | 1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)                                                                                                           | 1944                       | 2000        | bootleg                                                         | CPS2                           |                                                                                   |
| 1944u                           |        | 1944: The Loop Master (USA 000620)                                                                                                                                     | 1944                       | 2000        | Eighting / Raizing (Capcom license)                             | CPS2                           |                                                                                   |
| bgareggabl                      |        | 1945 Er Dai / 1945 Part-2 (Chinese hack of Battle Garegga)                                                                                                             | bgaregga                   | 1998        | bootleg (Melody)                                                | Toaplan GP9001 based           |                                                                                   |
| 1945kiiin                       |        | 1945k III (newer, OPCX1 PCB)                                                                                                                                           | 1945kiii                   | 2000        | Oriental Soft                                                   | Miscellaneous                  |                                                                                   |
| 1945kiii                        |        | 1945k III (newer, OPCX2 PCB)                                                                                                                                           |                            | 2000        | Oriental Soft                                                   | Miscellaneous                  |                                                                                   |
| 1945kiiio                       |        | 1945k III (older, OPCX1 PCB)                                                                                                                                           | 1945kiii                   | 1999        | Oriental Soft                                                   | Miscellaneous                  |                                                                                   |
| 1945kiiipt                      |        | 1945k III (Promat license, OPCX1 PCB)                                                                                                                                  | 1945kiii                   | 1999        | Promat                                                          | Miscellaneous                  |                                                                                   |
| spec_1985tda                    |        | 1985: The Day After (48K)                                                                                                                                              |                            | 1985        | Mastertronic                                                    | ZX Spectrum                    |                                                                                   |
| nes_1991dumarac                 |        | 1991 Du Ma Racing (Unl)                                                                                                                                                |                            | 1991        | Idea-tek                                                        | NES / Famicom                  |                                                                                   |
| spikes91                        |        | 1991 Spikes (Italian bootleg, set 1)                                                                                                                                   | pspikes                    | 1991        | bootleg                                                         | Miscellaneous                  |                                                                                   |
| spikes91b                       |        | 1991 Spikes (Italian bootleg, set 2)                                                                                                                                   | pspikes                    | 1991        | bootleg                                                         | Miscellaneous                  |                                                                                   |
| 19xxar1                         |        | 19XX: The War Against Destiny (Asia 951207)                                                                                                                            | 19xx                       | 1996        | Capcom                                                          | CPS2                           |                                                                                   |
| 19xxa                           |        | 19XX: The War Against Destiny (Asia 960104)                                                                                                                            | 19xx                       | 1996        | Capcom                                                          | CPS2                           |                                                                                   |
| 19xxb                           |        | 19XX: The War Against Destiny (Brazil 951218)                                                                                                                          | 19xx                       | 1996        | Capcom                                                          | CPS2                           |                                                                                   |
| 19xx                            |        | 19XX: The War Against Destiny (Europe 960104)                                                                                                                          |                            | 1996        | Capcom                                                          | CPS2                           |                                                                                   |
| 19xxh                           |        | 19XX: The War Against Destiny (Hispanic 951218)                                                                                                                        | 19xx                       | 1996        | Capcom                                                          | CPS2                           |                                                                                   |
