This list contains all games supported by FinalBurn Neo.

24323 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

+---------------------------------+--------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------+-------------+-----------------------------------------------------------------+--------------------------------+-----------------------------------------------------------------------------------+
| name                            | status | full name                                                                                                                                                              | parent                     | year        | company                                                         | hardware                       | remarks                                                                           |
| djboyja                         |        | DJ Boy (Japan, set 2)                                                                                                                                                  | djboy                      | 1989        | Kaneko (Sega license)                                           | Miscellaneous                  |                                                                                   |
| djboyu                          |        | DJ Boy (US, set 1)                                                                                                                                                     | djboy                      | 1990        | Kaneko (American Sammy license)                                 | Miscellaneous                  |                                                                                   |
| djboyua                         |        | DJ Boy (US, set 2)                                                                                                                                                     | djboy                      | 1990        | Kaneko (American Sammy license)                                 | Miscellaneous                  |                                                                                   |
| md_djboyu                       |        | DJ Boy (USA)                                                                                                                                                           | md_djboy                   | 1990        | Kaneko                                                          | Genesis / Mega Drive           |                                                                                   |
| djboy                           |        | DJ Boy (World)                                                                                                                                                         |                            | 1989        | Kaneko                                                          | Miscellaneous                  |                                                                                   |
| djgirl                          |        | DJ Girl (Promat license)                                                                                                                                               | discoboy                   | 1993        | Soft Art Co. / Promat                                           | Miscellaneous                  |                                                                                   |
| spec_djpuff                     |        | DJ Puff's Volcanic Erruption (128K+2A)                                                                                                                                 |                            | 1992        | Codemasters                                                     | ZX Spectrum                    |                                                                                   |
| spec_djpuff23                   |        | DJ Puff's Volcanic Erruption - Recoloured (128K) (Hack)                                                                                                                | spec_djpuff                | 2023        | Rafal Miazga                                                    | ZX Spectrum                    |                                                                                   |
| msx_dothesame                   |        | Do the Same (HB, v1.1)                                                                                                                                                 |                            | 2021        | EM - JMeric                                                     | MSX                            |                                                                                   |
| sms_dothesame                   |        | Do The Same (HB, v1.40)                                                                                                                                                |                            | 2022        | Ricco59                                                         | Sega Master System             |                                                                                   |
| dorunrunc                       |        | Do! Run Run (Do's Castle hardware, set 1)                                                                                                                              | dorunrun                   | 1984        | Universal                                                       | Miscellaneous                  |                                                                                   |
| dorunrunca                      |        | Do! Run Run (Do's Castle hardware, set 2)                                                                                                                              | dorunrun                   | 1984        | Universal                                                       | Miscellaneous                  |                                                                                   |
| dorunrun                        |        | Do! Run Run (set 1)                                                                                                                                                    |                            | 1984        | Universal                                                       | Miscellaneous                  |                                                                                   |
| dorunrun2                       |        | Do! Run Run (set 2)                                                                                                                                                    | dorunrun                   | 1984        | Universal                                                       | Miscellaneous                  |                                                                                   |
| dockman                         |        | Dock Man (set 1)                                                                                                                                                       |                            | 1982        | Taito Corporation                                               | Miscellaneous                  |                                                                                   |
| dockmanb                        |        | Dock Man (set 2)                                                                                                                                                       | dockman                    | 1982        | Taito Corporation                                               | Miscellaneous                  |                                                                                   |
| dockmanc                        |        | Dock Man (set 3)                                                                                                                                                       | dockman                    | 1982        | Taito Corporation                                               | Miscellaneous                  |                                                                                   |
| spec_docadv                     |        | Doctor Adventures (Spanish) (48K) (HB)                                                                                                                                 |                            | 2015        | errecepe                                                        | ZX Spectrum                    |                                                                                   |
| spec_doomrevenge                |        | Doctor Doom's Revenge (48K)                                                                                                                                            |                            | 1989        | Empire                                                          | ZX Spectrum                    | The Amazing Spider-Man and Captain America in Dr. Doom's Revenge!                 |
| chf_dodgeit                     |        | Dodge It                                                                                                                                                               |                            | 1978        | Fairchild                                                       | Channel F                      |                                                                                   |
| dodgeman                        |        | Dodge Man                                                                                                                                                              |                            | 1983        | Omori Electric Co., Ltd.                                        | Miscellaneous                  |                                                                                   |
| msx_dgnraven                    |        | Dodgin Raven (HB)                                                                                                                                                      |                            | 2009        | Karoshi Corporation                                             | MSX                            |                                                                                   |
| ddonpacha                       |        | DoDonPachi (2012/02/12 Arrange Ver. 1.1) (hack)                                                                                                                        | ddonpach                   | 2012        | hack (trap15)                                                   | Cave                           |                                                                                   |
| ddonpachj                       |        | DoDonPachi (Japan, 1997 2/ 5 Master Ver.)                                                                                                                              | ddonpach                   | 1997        | Cave (Atlus license)                                            | Cave                           |                                                                                   |
| ddonpach                        |        | DoDonPachi (World, 1997 2/ 5 Master Ver.)                                                                                                                              |                            | 1997        | Cave (Atlus license)                                            | Cave                           |                                                                                   |
| ddp2100c                        |        | DoDonPachi - Feng Bao (China, ver. 100)                                                                                                                                | ddp2                       | 2001        | IGS                                                             | PolyGame Master                |                                                                                   |
| ddp2101c                        |        | DoDonPachi - Feng Bao (China, ver. 101)                                                                                                                                | ddp2                       | 2001        | IGS                                                             | PolyGame Master                |                                                                                   |
| ddp2c                           |        | DoDonPachi - Feng Bao (China, ver. 102)                                                                                                                                | ddp2                       | 2001        | IGS                                                             | PolyGame Master                |                                                                                   |
| ddp2100t                        |        | DoDonPachi - Feng Bao (Taiwan, ver. 100)                                                                                                                               | ddp2                       | 2001        | IGS                                                             | PolyGame Master                |                                                                                   |
| ddp2101t                        |        | DoDonPachi - Feng Bao (Taiwan, ver. 101)                                                                                                                               | ddp2                       | 2001        | IGS                                                             | PolyGame Master                |                                                                                   |
| ddp2t                           |        | DoDonPachi - Feng Bao (Taiwan, ver. 102)                                                                                                                               | ddp2                       | 2001        | IGS                                                             | PolyGame Master                |                                                                                   |
| dfkbl                           |        | DoDonPachi Dai-Fukkatsu Black Label (2010/1/18 BLACK LABEL)                                                                                                            |                            | 2010        | Cave                                                            | CA019B                         |                                                                                   |
| ddpdfk10                        |        | DoDonPachi Dai-Fukkatsu Ver 1.0 (2008/05/16 MASTER VER)                                                                                                                | ddpdfk                     | 2008        | Cave (AMI license)                                              | CA019                          |                                                                                   |
| ddpdfk                          |        | DoDonPachi Dai-Fukkatsu Ver 1.5 (2008/06/23 MASTER VER 1.5)                                                                                                            |                            | 2008        | Cave (AMI license)                                              | CA019                          |                                                                                   |
| ddpdojb                         |        | DoDonPachi Dai-Ou-Jou (Japan, 2002.04.05 Master Ver)                                                                                                                   | ddp3                       | 2002        | Cave (AMI license)                                              | PolyGame Master                |                                                                                   |
| ddpdojp                         |        | DoDonPachi Dai-Ou-Jou (Japan, 2002.04.05 Master Ver, location test)                                                                                                    | ddp3                       | 2002        | Cave (AMI license)                                              | PolyGame Master                |                                                                                   |
| ddpdoja                         |        | DoDonPachi Dai-Ou-Jou (Japan, 2002.04.05.Master Ver, 68k Label V100)                                                                                                   | ddp3                       | 2002        | Cave (AMI license)                                              | PolyGame Master                |                                                                                   |
| ddpdoj                          |        | DoDonPachi Dai-Ou-Jou (Japan, 2002.04.05.Master Ver, 68k Label V101)                                                                                                   | ddp3                       | 2002        | Cave (AMI license)                                              | PolyGame Master                |                                                                                   |
| ddpdojblkb                      |        | DoDonPachi Dai-Ou-Jou Black Label (Japan, 2002.10.07 Black Ver)                                                                                                        | ddp3                       | 2002        | Cave (AMI license)                                              | PolyGame Master                |                                                                                   |
| ddpdojblkbl                     |        | DoDonPachi Dai-Ou-Jou Black Label (Japan, 2002.10.07 Black Ver., bootleg Knights of Valour Super Heroes conversion)                                                    | ddp3                       | 2012        | bootleg                                                         | PolyGame Master                |                                                                                   |
| ddpdojblk                       |        | DoDonPachi Dai-Ou-Jou Black Label (Japan, 2002.10.07.Black Ver, newer)                                                                                                 | ddp3                       | 2002        | Cave (AMI license)                                              | PolyGame Master                |                                                                                   |
| ddpdojblka                      |        | DoDonPachi Dai-Ou-Jou Black Label (Japan, 2002.10.07.Black Ver, older)                                                                                                 | ddp3                       | 2002        | Cave (AMI license)                                              | PolyGame Master                |                                                                                   |
| ddp2100j                        |        | DoDonPachi II (Japan, ver. 100)                                                                                                                                        | ddp2                       | 2001        | IGS (Cave license)                                              | PolyGame Master                |                                                                                   |
| ddp2101j                        |        | DoDonPachi II (Japan, ver. 101)                                                                                                                                        | ddp2                       | 2001        | IGS (Cave license)                                              | PolyGame Master                |                                                                                   |
| ddp2j                           |        | DoDonPachi II (Japan, ver. 102)                                                                                                                                        | ddp2                       | 2001        | IGS (Cave license)                                              | PolyGame Master                |                                                                                   |
| ddp2100k                        |        | DoDonPachi II - Bee Storm (Korea, ver. 100)                                                                                                                            | ddp2                       | 2001        | IGS                                                             | PolyGame Master                |                                                                                   |
| ddp2101k                        |        | DoDonPachi II - Bee Storm (Korea, ver. 101)                                                                                                                            | ddp2                       | 2001        | IGS                                                             | PolyGame Master                |                                                                                   |
| ddp2k                           |        | DoDonPachi II - Bee Storm (Korea, ver. 102)                                                                                                                            | ddp2                       | 2001        | IGS                                                             | PolyGame Master                |                                                                                   |
| ddp2100                         |        | DoDonPachi II - Bee Storm (World, ver. 100)                                                                                                                            | ddp2                       | 2001        | IGS                                                             | PolyGame Master                |                                                                                   |
| ddp2101                         |        | DoDonPachi II - Bee Storm (World, ver. 101)                                                                                                                            | ddp2                       | 2001        | IGS                                                             | PolyGame Master                |                                                                                   |
| ddp2                            |        | DoDonPachi II - Bee Storm (World, ver. 102)                                                                                                                            |                            | 2001        | IGS                                                             | PolyGame Master                |                                                                                   |
| ddp2100hk                       |        | DoDonPachi II - Fung Bou (Hong Kong, ver. 100)                                                                                                                         | ddp2                       | 2001        | IGS                                                             | PolyGame Master                |                                                                                   |
| ddp2101hk                       |        | DoDonPachi II - Fung Bou (Hong Kong, ver. 101)                                                                                                                         | ddp2                       | 2001        | IGS                                                             | PolyGame Master                |                                                                                   |
| ddp2hk                          |        | DoDonPachi II - Fung Bou (Hong Kong, ver. 102)                                                                                                                         | ddp2                       | 2001        | IGS                                                             | PolyGame Master                |                                                                                   |
| ddp3                            |        | DoDonPachi III (World, 2002.05.15 Master Ver)                                                                                                                          |                            | 2002        | Cave (AMI license)                                              | PolyGame Master                |                                                                                   |
| sdojak                          |        | DoDonPachi SaiDaiOuJou & Knuckles (CaveDwellers Hack)                                                                                                                  | ddpsdoj                    | 2021        | hack                                                            | CA???                          |                                                                                   |
| ddpsdoj                         |        | DoDonPachi SaiDaiOuJou (2012/ 4/20)                                                                                                                                    |                            | 2012        | Cave                                                            | CA???                          |                                                                                   |
| dogfight                        |        | Dog Fight (Thunderbolt)                                                                                                                                                |                            | 1983        | Orca / Thunderbolt                                              | Miscellaneous                  |                                                                                   |
| msx_dogfight                    |        | Dog Fighter (Euro)                                                                                                                                                     |                            | 1986        | Kuma Computers                                                  | MSX                            |                                                                                   |
| spec_dogmole                    |        | Dogmole Tuppowski (48K) (HB)                                                                                                                                           |                            | 2013        | The Mojon Twins                                                 | ZX Spectrum                    | VS. the Mesmerizing Meemaid From Miskatonic                                       |
| spec_dogadves                   |        | Dogmole Tuppowski - Las Nuevas Aventuras (Spanish) (128K) (HB)                                                                                                         | spec_dogadven              | 2014        | The Mojon Twins                                                 | ZX Spectrum                    |                                                                                   |
| spec_dogadven                   |        | Dogmole Tuppowski - The New Adventures (English) (128K) (HB)                                                                                                           |                            | 2014        | The Mojon Twins                                                 | ZX Spectrum                    |                                                                                   |
| dogosoke                        |        | Dogou Souken (Japan)                                                                                                                                                   | victroad                   | 1986        | SNK                                                             | Miscellaneous                  |                                                                                   |
| dogosokb                        |        | Dogou Souken (Joystick hack bootleg)                                                                                                                                   | victroad                   | 1986        | bootleg                                                         | Miscellaneous                  |                                                                                   |
| spec_dogsbody                   |        | Dogsbody to the Rescue (48K)                                                                                                                                           |                            | 1985        | Bug-Byte Software                                               | ZX Spectrum                    |                                                                                   |
| dogyuunt                        |        | Dogyuun (10/9/1992 location test)                                                                                                                                      | dogyuun                    | 1992        | Toaplan                                                         | Dual Toaplan GP9001 based      |                                                                                   |
| dogyuuna                        |        | Dogyuun (older set)                                                                                                                                                    | dogyuun                    | 1992        | Toaplan                                                         | Dual Toaplan GP9001 based      |                                                                                   |
| dogyuunb                        |        | Dogyuun (oldest set)                                                                                                                                                   | dogyuun                    | 1992        | Toaplan                                                         | Dual Toaplan GP9001 based      |                                                                                   |
| dogyuun                         |        | Dogyuun                                                                                                                                                                |                            | 1992        | Toaplan                                                         | Dual Toaplan GP9001 based      |                                                                                   |
| dokaben                         |        | Dokaben (Japan)                                                                                                                                                        |                            | 1989        | Capcom                                                          | Miscellaneous                  |                                                                                   |
| dokaben2                        |        | Dokaben 2 (Japan)                                                                                                                                                      |                            | 1989        | Capcom                                                          | Miscellaneous                  |                                                                                   |
| snes_dokapon321j                |        | Dokapon 3-2-1 - Arashi o Yobu Yuujou (Japan)                                                                                                                           | snes_dokapon321te          | 1994        | Asmik                                                           | SNES / Super Famicom           |                                                                                   |
| snes_dokapon321te               |        | Dokapon 3-2-1, from Friendship to Mayhem (Hack, English v1.4)                                                                                                          |                            | 2023        | Krokodyl                                                        | SNES / Super Famicom           |                                                                                   |
| snes_dokapongdnte               |        | Dokapon Gaiden - Fiery Audition (Hack, English)                                                                                                                        |                            | 2022        | Krokodyl                                                        | SNES / Super Famicom           |                                                                                   |
| snes_dokapongdnj                |        | Dokapon Gaiden - Honoo no Audition (Japan)                                                                                                                             | snes_dokapongdnte          | 1995        | Asmik                                                           | SNES / Super Famicom           |                                                                                   |
| fds_dokidokipanic               |        | Doki Doki Panic (Japan)                                                                                                                                                |                            | 1987        | Nintendo - Fuji TV                                              | Famicom Disk System            |                                                                                   |
| msx_dokidoki                    |        | Doki Doki Penguin Land (Japan)                                                                                                                                         |                            | 1985        | Sega                                                            | MSX                            |                                                                                   |
| msx_dokidokia                   |        | Doki Doki Penguin Land (Japan, Alt)                                                                                                                                    | msx_dokidoki               | 1985        | Sega                                                            | MSX                            |                                                                                   |
| sms_dokidoki                    |        | Doki Doki Penguin Land: Uchuu Daibouken (Japan)                                                                                                                        | sms_pengland               | 1987        | Sega                                                            | Sega Master System             |                                                                                   |
| sms_dokidokip                   |        | Doki Doki Penguin Land: Uchuu Daibouken (Japan, Prototype)                                                                                                             | sms_pengland               | 1987        | Sega                                                            | Sega Master System             |                                                                                   |
| nes_dokidokyuu                  |        | Doki!Doki! Yuuenchi - Crazy Land Daisakusen (Hack, English)                                                                                                            |                            | 2016        | pacnsacdave                                                     | NES / Famicom                  |                                                                                   |
| nes_dokidokyuuj                 |        | Doki!Doki! Yuuenchi - Crazy Land Daisakusen (Japan)                                                                                                                    | nes_dokidokyuu             | 1991        | Vap Inc.                                                        | NES / Famicom                  |                                                                                   |
| sg1k_dokidoki                   |        | Dokidoki Penguin Land (Japan)                                                                                                                                          |                            | 1985        | Sega                                                            | Sega SG-1000                   |                                                                                   |
| ngp_dokodemo                    |        | Dokodemo Mahjong (Japan)                                                                                                                                               |                            | 1999        | SNK - ADK Corp.                                                 | NeoGeo Pocket Color            |                                                                                   |
| dolmen                          |        | Dolmen                                                                                                                                                                 |                            | 1995        | Afega                                                           | NMK16                          |                                                                                   |
| snes_doluckysoc                 |        | Dolucky no A.League Soccer (Japan)                                                                                                                                     |                            | 1994        | Imagineer                                                       | SNES / Super Famicom           |                                                                                   |
| snes_doluckykusa                |        | Dolucky no Kusayakiu (Japan)                                                                                                                                           |                            | 1993        | Imagineer                                                       | SNES / Super Famicom           |                                                                                   |
| snes_doluckypzl                 |        | Dolucky no Puzzle Tour '94 (Japan)                                                                                                                                     |                            | 1994        | Imagineer                                                       | SNES / Super Famicom           |                                                                                   |
| spec_dominator                  |        | Dominator (48K)                                                                                                                                                        |                            | 1987        | System 3                                                        | ZX Spectrum                    |                                                                                   |
| spec_dominetris                 |        | Dominetris (48K) (HB)                                                                                                                                                  |                            | 2005        | Cronosoft                                                       | ZX Spectrum                    |                                                                                   |
| md_domino                       |        | Domino (Russia) (Unl)                                                                                                                                                  |                            | 199?        | <unknown>                                                       | Genesis / Mega Drive           |                                                                                   |
| domino                          |        | Domino Man (set 1)                                                                                                                                                     |                            | 1982        | Bally Midway                                                    | Miscellaneous                  |                                                                                   |
| dominoa                         |        | Domino Man (set 2)                                                                                                                                                     | domino                     | 1982        | Bally Midway                                                    | Miscellaneous                  |                                                                                   |
| md_dominus                      |        | Dominus (USA, Prototype)                                                                                                                                               |                            | 199?        | <unknown>                                                       | Genesis / Mega Drive           |                                                                                   |
| dommy                           |        | Dommy                                                                                                                                                                  |                            | 1983        | Technos Japan                                                   | Miscellaneous                  |                                                                                   |
| nes_dondokodon                  |        | Don Doko Don (Japan)                                                                                                                                                   |                            | 1990        | Taito Corp.                                                     | NES / Famicom                  |                                                                                   |
| dondokodj                       |        | Don Doko Don (Japan, rev 1)                                                                                                                                            | dondokod                   | 1989        | Taito Corporation                                               | Taito F2                       |                                                                                   |
| dondokodu                       |        | Don Doko Don (US, rev 1)                                                                                                                                               | dondokod                   | 1989        | Taito America Corporation                                       | Taito F2                       |                                                                                   |
| dondokod                        |        | Don Doko Don (World, rev 1)                                                                                                                                            |                            | 1989        | Taito Corporation Japan                                         | Taito F2                       |                                                                                   |
| nes_dondokodon2c                |        | Don Doko Don 2 (Hack, Chinese)                                                                                                                                         | nes_dondokodon2            | 2020        | Advance Team                                                    | NES / Famicom                  |                                                                                   |
| nes_dondokodon2                 |        | Don Doko Don 2 (Hack, English)                                                                                                                                         |                            | 2014        | MrRichard999                                                    | NES / Famicom                  |                                                                                   |
| nes_dondokodon2j                |        | Don Doko Don 2 (Japan)                                                                                                                                                 | nes_dondokodon2            | 1992        | Taito Corp.                                                     | NES / Famicom                  |                                                                                   |
| pce_dondoko                     |        | Don Doko Don! (Japan)                                                                                                                                                  |                            | 1990        | Taito Corp.                                                     | PC Engine                      |                                                                                   |
